ID,Species,Date,Mass
p2c.2,Saccorhiza polyschides,24.11.21,0.0035
p4g.2,Saccorhiza polyschides,24.11.21,0.0038
hS23,Laminaria hyperborea,24.11.21,0.0136
hS20,Laminaria hyperborea,24.11.21,0.0179
dS26,Laminaria digitata,24.11.21,0.0055
h1c.2,Laminaria hyperborea,24.11.21,0.008
h3c.2,Laminaria hyperborea,24.11.21,0.0074
d3g.2,Laminaria digitata,24.11.21,0.0042
h4c.2,Laminaria hyperborea,24.11.21,0.0071
p7,Saccorhiza polyschides,24.11.21,0.0039
p3c.2,Saccorhiza polyschides,24.11.21,0.0034
d4g.2,Laminaria digitata,24.11.21,0.0038
d5,Laminaria digitata,24.11.21,0.0079
l2g.2,Saccharina latissima,24.11.21,0.0144
h7,Laminaria hyperborea,24.11.21,0.0125
p1c.2,Saccorhiza polyschides,24.11.21,0.0034
dS11,Laminaria digitata,24.11.21,0.0072
l7,Saccharina latissima,24.11.21,0.0055
d2c.2,Laminaria digitata,24.11.21,0.0051
h1g.2,Laminaria hyperborea,24.11.21,0.0076
d3c.2,Laminaria digitata,24.11.21,0.0046
l1g.2,Saccharina latissima,24.11.21,0.0068
hS18,Laminaria hyperborea,24.11.21,0.0182
d8,Laminaria digitata,24.11.21,0.0078
dS19,Laminaria digitata,24.11.21,0.0105
l6,Saccharina latissima,24.11.21,0.0057
l2c.2,Saccharina latissima,24.11.21,0.0065
d1c.2,Laminaria digitata,24.11.21,0.0046
h4g.2,Laminaria hyperborea,24.11.21,0.0072
dS24,Laminaria digitata,24.11.21,0.0075
l1c.2,Saccharina latissima,24.11.21,0.0052
dS16,Laminaria digitata,24.11.21,0.0055
h2g.2,Laminaria hyperborea,24.11.21,0.0078
hS33,Laminaria hyperborea,24.11.21,0.0095
p3g.2,Saccorhiza polyschides,24.11.21,0.0037
h4,Laminaria hyperborea,24.11.21,0.0104
d1g.2,Laminaria digitata,24.11.21,0.0045
h8,Laminaria hyperborea,24.11.21,0.0165
p6,Saccorhiza polyschides,24.11.21,0.0039
d2g.2,Laminaria digitata,24.11.21,0.0049
p8,Saccorhiza polyschides,24.11.21,0.0039
p4c.2,Saccorhiza polyschides,24.11.21,0.0033
d4,Laminaria digitata,24.11.21,0.0084
p9,Saccorhiza polyschides,01.12.21,0.0034
p10,Saccorhiza polyschides,01.12.21,0.0044
l11,Saccharina latissima,01.12.21,0.0043
p11,Saccorhiza polyschides,01.12.21,0.0031
l9,Saccharina latissima,01.12.21,0.0044
l13,Saccharina latissima,01.12.21,0.003
p12,Saccorhiza polyschides,01.12.21,0.0037
p13,Saccorhiza polyschides,01.12.21,0.0043
d12,Laminaria digitata,01.12.21,0.0055
h12,Laminaria hyperborea,01.12.21,0.011
h10,Laminaria hyperborea,01.12.21,0.0186
h9,Laminaria hyperborea,01.12.21,0.0142
h13,Laminaria hyperborea,01.12.21,0.0091
h11,Laminaria hyperborea,01.12.21,0.0134
l12,Saccharina latissima,01.12.21,0.0037
l10,Saccharina latissima,01.12.21,0.0047
d13,Laminaria digitata,01.12.21,0.0056
d9,Laminaria digitata,01.12.21,0.0043
d10,Laminaria digitata,01.12.21,0.0044
d11,Laminaria digitata,01.12.21,0.0048
sediment1,Sediment,01.12.21,0.872
sediment2,Sediment,01.12.21,0.1476
sediment3,Sediment,01.12.21,0.871
sediment4,Sediment,01.12.21,1.17
sediment5,Sediment,01.12.21,2.0877
sediment6,Sediment,01.12.21,1.9314
sediment7,Sediment,01.12.21,1.1495
sediment8,Sediment,01.12.21,1.1009
sediment9,Sediment,01.12.21,0.3592
sediment10,Sediment,01.12.21,0.1197
sediment11,Sediment,01.12.21,0.6759
sediment12,Sediment,01.12.21,0.579
s1,Fucus serratus,13.12.21,0.0063
s2,Fucus serratus,13.12.21,0.005
s3,Fucus serratus,13.12.21,0.0076
s4,Fucus serratus,13.12.21,0.005
s5,Fucus serratus,13.12.21,0.0052
s6,Fucus serratus,13.12.21,0.0079
s7,Fucus serratus,13.12.21,0.007
s8,Fucus serratus,13.12.21,0.0043
s9,Fucus serratus,13.12.21,0.0063
